Mol,DRC,S2,T2(blyp),"T2(blyp, TDA)",T2(bmk),"T2(bmk, TDA)",T2(m11),"T2(m11, TDA)",T2(m062x),"T2(m062x, TDA)",T2(b3lyp),"T2(b3lyp, TDA)",T2(PBE0),"T2(PBE0, TDA)",T2(cam-b3lyp),"T2(cam-b3lyp, TDA)",T2(LC-wPBE),"T2(LC-wPBE, TDA)",T2(LC-BLYP),"T2(LC-BLYP, TDA)",T2(wB97XD),"T2(wB97XD, TDA)",T2(PBE),"T2(PBE, TDA)",T2(MC),CHECK (MC)
BBNBN10,0.0007,0.0756,3.0615,3.142,3.2723,3.4368,3.2746,3.463,3.1067,3.295,3.0512,3.1966,2.9494,3.1571,3.0312,3.2512,2.8228,3.2086,3.023,3.36,3.0716,3.2813,3.031,3.1307,2.9309488226998,2.930948823
BBNBN11,0.0181,0.3274,3.6652,3.7347,3.9991,4.2105,3.857,4.1164,3.9186,4.1467,3.6808,3.879,3.6437,3.9022,3.6836,3.9747,3.5579,3.9863,3.7129,4.1344,3.7632,4.0196,3.7107,3.8087,3.72572870580009,3.725728706
BBNBN12,0.0772,0.5659,3.0496,3.0626,3.602,3.626,3.432,3.4391,3.4492,3.6334,3.4143,3.4183,3.3443,3.4974,3.333,3.6381,2.9496,3.4937,3.0978,3.6192,3.4105,3.6805,3.0093,3.0246,3.49563822479961,3.495638225
BBNBN13,0.0743,0.5571,3.9826,3.985,4.608,4.7769,4.0547,4.0641,4.3665,4.3734,4.2506,4.2547,4.2696,4.4571,4.423,4.4737,4.3349,4.6942,4.5443,4.7894,4.4573,4.6801,4.1755,4.1787,4.50933044880024,4.509330449
BBNBN15,0.0954,0.6068,3.807,3.8772,4.2332,4.3795,3.8983,4.1408,3.9059,4.0873,3.8978,4.0264,3.8018,3.9916,3.9637,4.1622,3.813,4.1714,4.0326,4.3349,4.0113,4.2104,3.7659,3.8568,4.03504763220063,4.04
BBNBN16,0.2844,0.8357,3.8036,3.807,4.6458,4.7176,3.9985,4.0098,4.2208,4.2315,4.0874,4.0929,4.2301,4.2607,4.2729,4.3394,3.9956,4.4477,4.1697,4.5936,4.3496,4.6108,3.9548,3.9589,4.49414454780084,4.494144548
BBNBN17,0.4563,1.2712,2.7589,2.8391,2.8921,3.0583,2.7385,2.9638,2.9698,3.0945,2.7069,2.868,2.6582,2.8697,2.6001,2.8571,2.4036,2.8194,2.4653,2.8775,2.6905,2.9153,2.7814,2.8684,2.74659807960194,2.74659808
NBNBN18,0.4492,1.2571,3.0111,3.088,3.1252,3.2956,2.9936,3.2,3.2196,3.3475,2.9631,3.1264,2.9108,3.1228,2.8235,3.0889,2.5473,2.9779,2.5924,3.03,2.9234,3.1544,3.0293,3.1118,2.94240668160066,2.942406682
AzBNBN19,0.1269,0.7531,3.1519,3.2574,3.3794,3.5924,3.3644,3.6178,3.5355,3.7007,3.166,3.3724,3.1297,3.3949,3.1663,3.4668,3.1043,3.5207,3.244,3.6457,3.2491,3.5148,3.1715,3.2859,3.27299974649992,3.272999746
BNONO20,0.3855,0.9346,2.3456,2.3527,3.5814,3.7474,3.4749,3.7305,3.5674,3.7864,3.0751,3.0915,3.2639,3.2847,3.3923,3.6848,3.1935,3.6603,3.1977,3.7004,3.5254,3.6739,2.3579,2.3649,3.70968269670048,3.709682697
