Mol,DRC,S2,T2(blyp),"T2(blyp, TDA)",T2(bmk),"T2(bmk, TDA)",T2(m11),"T2(m11, TDA)",T2(m062x),"T2(m062x, TDA)",T2(b3lyp),"T2(b3lyp, TDA)",T2(PBE0),"T2(PBE0, TDA)",T2(cam-b3lyp),"T2(cam-b3lyp, TDA)",T2(LC-wPBE),"T2(LC-wPBE, TDA)",T2(LC-BLYP),"T2(LC-BLYP, TDA)",T2(wB97XD),"T2(wB97XD, TDA)",T2(PBE),"T2(PBE, TDA)",T2(MC),CHECK (MC)
BBN2,0,0.2071,4.1184,4.208,4.3339,4.5283,4.2119,4.4226,4.4178,4.5619,4.1209,4.3051,4.065,4.3082,4.0801,4.3277,3.982,4.2473,4.1016,4.3476,4.1748,4.413,4.1423,4.2393,4.0530522170995,4.053052217
BBN3,0.0036,0.4858,4.2537,4.3338,4.6183,4.7483,4.5836,4.7161,4.5225,4.6692,4.3797,4.5062,4.3298,4.5003,4.4774,4.6337,4.4295,4.6493,4.6118,4.7887,4.513,4.6704,4.2368,4.3319,4.3698400164003,4.369840016
BBN4,0.03,0,4.0315,4.0987,4.3243,4.4554,4.1114,4.3213,4.1867,4.3261,4.0936,4.2213,4.0263,4.2117,4.0847,4.2962,3.8615,4.2549,4.0189,4.3843,4.1372,4.3301,4.0259,4.1072,4.12511790210006,4.125117902
BBNBN5,0,0,4.6691,4.7343,5.3843,5.5145,5.3137,5.3225,5.2413,5.406,4.9854,5.093,4.9939,5.1424,5.3106,5.4501,5.5214,5.726,5.7809,5.9479,5.3428,5.4893,4.6547,4.734,5.17455018900073,5.174550189
BBNBN6,0.0004,0.0535,3.7346,3.8597,3.8504,4.0552,4.0252,4.1665,4.0308,4.1983,3.6716,3.9048,3.5803,3.8924,3.7654,3.9226,3.9618,4.1742,4.2104,4.4031,3.7566,4.0136,3.7612,3.901,4.17775401450043,4.177754015
BBNBN7,0,0,3.8427,3.8439,4.2398,4.3404,4.1432,4.283,3.952,4.1025,4.1052,4.182,4.0403,4.1566,4.1133,4.2252,3.9324,4.1521,4.1463,4.3183,4.1092,4.2351,3.9978,4.0681,3.74635034850012,3.746350349
BBNBN8,0,0,3.7222,3.7589,4.1347,4.1649,4.2697,4.3001,4.1737,4.1911,3.9742,4.0238,3.9153,3.9816,4.0645,4.1243,3.9616,4.0532,4.108,4.1834,4.0958,4.1519,3.6419,3.6846,4.27694099489959,4.276940995
BBNBN9,0,0,3.7547,3.8663,3.9304,4.138,3.8244,4.0536,4.0387,4.1905,3.7522,3.956,3.666,3.9332,3.7042,3.9991,3.5428,3.9486,3.788,4.054,3.8086,4.0695,3.7462,3.8685,3.87415571849993,3.874155718
A,0.1526,1.8593,3.2244,3.2707,3.4927,3.7208,3.4325,3.6921,3.7042,3.8292,3.2597,3.4814,3.1974,3.4852,3.2419,3.5528,3.0461,3.5677,3.1716,3.6609,3.3437,3.6336,3.2368,3.3056,3.28,3.28
AB1B8,0.6224,1.5261,1.4899,1.5244,1.5434,1.6813,1.5029,1.7837,1.5772,1.74,1.5236,1.6169,1.5065,1.6377,1.46,1.6805,1.3052,1.7578,1.4078,1.8397,1.4768,1.6999,1.505,1.5443,1.6930854166946,0.69
AB1aB8a,0.7352,2.3223,1.2779,1.1617,0.9732,1.3363,1.0906,1.5294,0.9245,1.3182,0.9288,1.2092,0.7652,1.1729,0.8472,1.3213,0.491,1.3637,0.7054,1.464,0.9148,1.3561,1.2647,1.1265,1.14338411569751,1.14
AB2B7,0.6748,2.0303,1.5528,1.4046,1.2867,1.5458,1.1068,1.6341,1.3253,1.6184,1.2904,1.4679,1.2296,1.4755,1.1584,1.5468,0.6403,1.553,0.784,1.6535,1.1955,1.5783,1.5549,1.4106,1.47890176615492,1.48
AB3B7,0.1142,1.3732,1.2445,1.3204,1.5706,1.7308,1.7707,2.0721,1.7941,1.9381,1.4028,1.5182,1.3759,1.5503,1.5318,1.8068,1.4633,2.0391,1.6251,2.1526,1.5895,1.8464,1.2306,1.2964,1.55761645504808,1.56
AB4B8,0.4038,1.8757,1.7232,1.7621,1.9635,2.1201,2.1226,2.4086,2.1876,2.319,1.8245,1.9409,1.8023,1.9768,1.8925,2.1649,1.7927,2.3456,1.922,2.4444,1.9819,2.2262,1.7324,1.777,1.90943999272687,1.91
AB4aB8a,0.299,1.99,1.2976,1.3428,1.6827,1.8724,1.8096,2.1484,1.833,2.0137,1.4972,1.6448,1.4227,1.6619,1.6062,1.9409,1.3515,2.0616,1.5471,2.1812,1.6927,1.9844,1.2655,1.3215,1.58975257421894,1.59
AB6B8,0.0505,1.4703,2.2015,2.2645,2.5539,2.6656,2.9832,3.1706,2.7944,2.8942,2.2966,2.4864,2.2997,2.5147,2.6478,2.7526,2.4968,3.0952,2.6614,3.1993,2.7524,2.8507,2.2077,2.2824,2.4155450934394,2.42
AB9B10,0.0275,1.2274,2.6438,2.6596,3.2773,3.3221,3.4016,3.7506,3.5036,3.5536,2.9952,3.0315,3.0669,3.1169,3.2008,3.4021,2.8019,3.5578,2.8787,3.679,3.3413,3.4805,2.6667,2.6805,2.9,2.9
P,0.0682,1.8209,3.168,3.1999,3.7198,3.8058,3.7594,4.011,3.8732,3.9978,3.4133,3.5481,3.4279,3.5543,3.5683,3.7747,3.39,3.9129,3.5102,4.017,3.7117,3.8753,3.1944,3.2298,3.26,3.26
PB1B8,0.4304,1.9116,1.6466,1.7056,1.8428,2.036,1.9954,2.3051,2.0841,2.2367,1.7003,1.8552,1.646,1.873,1.7452,2.0563,1.6263,2.2222,1.7615,2.3166,1.8442,2.1172,1.6386,1.7068,1.84956049068382,1.85
PB1aB8a,0.3284,1.8829,1.2147,1.2642,1.6403,1.797,1.935,2.189,1.9071,2.025,1.4236,1.5569,1.3837,1.5864,1.6372,1.9067,1.5879,2.1243,1.7385,2.2344,1.7416,1.9701,1.1844,1.2428,1.62484249086271,1.62
PB2B7,0.252,1.8516,1.3276,1.4066,1.3948,1.632,1.5812,1.9016,1.6383,1.8019,1.2713,1.4827,1.1729,1.4665,1.3093,1.6575,1.2588,1.8699,1.4263,1.986,1.3771,1.6908,1.2819,1.3784,1.44047328284637,1.44
PB3B6,0.3187,1.8684,1.0977,1.159,1.4557,1.6323,1.7368,2.0248,1.7633,1.8908,1.2391,1.3925,1.1965,1.4225,1.4075,1.7074,1.4016,1.9759,1.5427,2.0765,1.5049,1.7661,1.0767,1.1468,1.42880557875456,1.43
PB4B5,0.4148,1.8986,1.6614,1.7022,2.0101,2.1437,2.1938,2.4154,2.2286,2.3384,1.8293,1.9389,1.8111,1.973,1.9654,2.1913,1.8815,2.331,2.0097,2.4344,2.0542,2.2494,1.6589,1.7055,1.93545218632665,1.94
PB4aB5a,0.3502,1.9472,1.0938,1.1405,1.5899,1.6277,1.8528,2.0029,1.7315,1.7529,1.3585,1.4778,1.3152,1.417,1.5834,1.7653,1.4842,1.8288,1.6594,2.0272,1.6614,1.7566,1.0997,1.1515,1.47763044954536,1.48
QDM13C46,0.2393,1.6817,2.4501,2.524,2.8325,3.0234,2.8516,3.1136,3.0537,3.1728,2.5729,2.7564,2.508,2.7647,2.6561,2.9668,2.5472,3.0581,2.7009,3.1748,2.7535,3.024,2.4385,2.5212,2.68356529829958,2.683565298
QDM15C46,0.1752,1.3514,2.3539,2.3659,3.1548,3.3105,3.1359,3.3577,3.3155,3.4244,2.9244,3.0687,2.8929,3.0891,2.9891,3.2387,2.908,3.3235,3.0568,3.4479,3.0468,3.268,2.282,2.2941,3.11399185319966,3.113991853
QDM2C56,0.2513,1.4315,2.3009,2.4103,2.4126,2.6852,2.2669,2.6908,2.5822,2.7916,2.2449,2.4928,2.1136,2.4626,2.163,2.5942,1.8616,2.609,2.0343,2.7254,2.2666,2.6493,2.2763,2.4005,2.4109953815998,2.410995382
QDM2C67,0.2957,1.7117,1.7235,1.8193,1.8278,2.0956,1.7536,2.1647,2.0442,2.2315,1.6651,1.9033,1.5585,1.8904,1.5832,2.0329,1.333,2.1276,1.502,2.2432,1.668,2.0708,1.7087,1.8137,1.79625345660053,1.796253457
QDM5C56,0.2287,1.3818,2.0441,2.1484,2.1657,2.4279,2.064,2.4517,2.3611,2.5519,1.9926,2.2332,1.8822,2.2134,1.9227,2.341,1.6952,2.3892,1.8548,2.5082,2.0051,2.3781,2.0273,2.1436,2.11879943610021,2.118799436
QDM6C67,0.3446,1.7564,1.9919,2.0844,2.1264,2.3757,2.0816,2.4498,2.3475,2.5138,1.9558,2.1794,1.8544,2.1662,1.8872,2.3028,1.6445,2.3817,1.7968,2.4849,1.9905,2.3795,1.9821,2.0838,2.13474476820038,2.134744768
